podskupina_kategorie;počet zaměstnanců;medián;1. decil;1. kvartil;3. kvartil;9. decil;průměr;odměny;příplatky;náhrady;placená doba;;;;;;;;;
3359 Pracovníci veřejné správy v oblasti státních regulací jinde neuvedení;1,6;46 242;35 187;40 767;52 259;63 682;47 825;8,9;17,0;7,2;175,1;;;;;;;;;
3411 Odborní pracovníci v právní oblasti, bezpečnosti a v příbuzných oborech;1,0;43 136;33 793;38 403;50 510;62 647;46 165;9,4;17,5;7,5;174,6;;;;;;;;;
3412 Odborní pracovníci v sociální oblasti;7,4;43 914;34 227;39 051;48 471;53 594;44 092;7,6;15,1;7,6;174,0;;;;;;;;;
 34121 Sociální pracovníci a ostatní odborní prac. v sociální oblasti ve veřejné správě;3,3;44 487;36 343;40 442;48 199;51 688;44 423;8,8;15,5;7,5;174,6;;;;;;;;;
 34124 Sociální pracovníci v oblasti péče o seniory (kromě péče o zdravotně postižené);1,0;43 727;33 997;38 871;49 070;55 644;44 416;7,4;14,3;7,9;173,8;;;;;;;;;
3511 Technici provozu ICT, technici programátoři;1,2;43 452;32 734;36 992;52 403;64 301;46 625;6,9;22,0;7,1;174,3;;;;;;;;;
3513 Technici počítačových sítí a systémů;1,1;46 111;35 758;40 627;52 801;61 183;47 785;8,6;20,0;7,0;174,6;;;;;;;;;
4110 Všeobecní administrativní pracovníci;10,6;38 258;29 569;33 327;44 570;52 961;40 158;8,9;15,8;7,3;173,7;;;;;;;;;
4120 Sekretáři (všeobecní);2,1;38 445;30 221;33 793;43 558;49 474;39 396;9,1;17,0;7,4;173,6;;;;;;;;;
4131 Pracovníci pro zpracování textů, písaři;1,7;31 987;26 893;29 296;35 064;37 913;32 337;9,9;9,4;7,9;173,5;;;;;;;;;
 41312 Písaři;1,6;31 911;26 825;29 239;34 918;37 659;32 108;10,0;9,0;8,0;173,4;;;;;;;;;
4132 Pracovníci pro zadávání dat;0,2;35 232;28 704;32 243;41 716;50 830;37 850;8,3;16,6;7,9;173,6;;;;;;;;;
4214 Inkasisté pohledávek a příbuzní pracovníci;0,4;37 876;32 304;35 384;40 836;43 873;38 212;6,0;12,9;10,5;173,4;;;;;;;;;
4225 Pracovníci v informačních kancelářích;0,5;36 224;28 287;31 748;39 616;43 679;36 201;7,3;15,6;7,1;173,7;;;;;;;;;
4226 Recepční (kromě recepčních v hotelích a dalších ubytovacích zařízeních);0,4;31 645;24 195;27 475;35 386;39 395;31 830;5,2;20,3;6,9;172,4;;;;;;;;;
4229 Pracovníci informačních služeb jinde neuvedení;0,2;37 460;28 793;32 777;41 575;52 330;38 542;9,7;16,7;6,8;174,6;;;;;;;;;
4311 Úředníci v oblasti účetnictví;3,0;40 888;32 386;36 198;46 444;53 555;42 127;8,8;16,2;7,3;173,8;;;;;;;;;
 43111 Účetní všeobecní;2,1;41 104;32 554;36 350;46 386;53 266;42 099;9,0;15,9;7,2;173,9;;;;;;;;;
 43112 Účetní finanční a investiční;0,3;43 134;34 429;37 661;49 792;57 413;44 937;8,6;18,7;7,6;173,7;;;;;;;;;
4312 Úředníci v oblasti statistiky, finančnictví a pojišťovnictví;0,6;39 713;30 452;34 065;48 338;58 311;42 356;8,4;16,7;7,3;173,4;;;;;;;;;
 43122 Úředníci v oblasti financí ;0,2;43 321;34 067;38 360;51 639;65 885;46 268;7,4;18,0;8,0;173,6;;;;;;;;;
4313 Mzdoví účetní;0,5;43 721;35 086;38 538;49 192;56 333;44 947;10,0;17,7;7,4;174,1;;;;;;;;;
4321 Úředníci ve skladech;0,6;34 003;28 069;30 661;37 972;42 836;34 854;6,7;16,4;8,2;174,1;;;;;;;;;
